chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr1,1037,72327103,72327105,0.616,0.88,24,49,6
chr1,1039,72355751,72355753,0.474,0.741,12,30,6
chr1,1040,72375574,72375576,0.35,0.559,6,20,3
chr1,1041,72396285,72396287,0.566,0.772,14,49,6
chr1,1043,72437541,72437543,0.712,0.484,16,48,6
chr1,1044,72488227,72488229,0.371,0.574,21,56,4
chr1,1046,72544573,72544575,0.553,0.772,12,26,4
chr1,1047,72578923,72578925,0.435,0.748,8,31,6
chr1,1052,72660323,72660325,0.483,0.267,14,26,4
chr1,1053,72675314,72675316,0.248,0.678,10,11,5
chr1,1055,72759412,72759414,0.94,0.697,4,19,3
chr1,1056,72894232,72894234,0.35,0.544,9,19,4
chr1,1057,72895416,72895418,0.551,0.337,35,35,5
chr1,1064,74098826,74098828,0.588,0.788,11,20,4
chr1,1073,74292704,74292706,0.858,0.643,18,23,6
chr1,1074,74339134,74339136,0.907,0.648,29,55,7
chr1,1091,75645643,75645645,0.768,0.444,50,191,22
chr1,1100,75956084,75956086,0.51,0.711,6,11,3
chr1,1103,76119152,76119154,0.571,0.798,7,24,4
chr1,1107,76122737,76122739,0.612,0.817,14,23,5
chr1,1119,76542012,76542014,0.501,0.807,7,14,4
chr1,1123,77651751,77651753,0.999,0.701,5,17,3
chr1,1126,77948484,77948486,0.348,0.545,8,24,4
chr1,1127,78016639,78016641,0.379,0.657,6,26,3
chr1,1128,78024232,78024234,0.592,0.811,19,56,4
chr1,1129,78111765,78111767,0.074,0.329,7,27,4
chr1,1130,78117266,78117268,0.52,0.819,7,36,4
chr1,1131,78153687,78153689,0.646,0.882,19,11,4
chr1,1132,78201036,78201038,0.484,0.675,17,29,6
chr1,1133,78201609,78201611,0.484,0.69,24,55,10
chr1,1136,78240851,78240853,0.502,0.935,6,11,5
chr1,1137,78249010,78249012,0.251,0.592,18,52,5
chr1,1138,78257569,78257571,0.821,0.491,16,25,4
chr1,1139,78265087,78265089,0.493,0.265,7,13,3
chr1,1140,78314227,78314229,0.446,0.69,25,51,5
chr1,1145,78510655,78510657,0.628,0.825,15,19,3
chr1,1148,78670279,78670281,0.383,0.624,15,57,5
chr1,1152,78766749,78766751,0.688,0.383,23,44,5
chr1,1155,78771034,78771036,0.232,0.461,15,31,6
chr1,1156,78771997,78771999,0.64,0.83,12,7,4
chr1,1158,78820389,78820391,0.494,0.284,5,18,4
chr1,1163,78998138,78998140,0.715,0.217,23,27,8
chr1,1165,79177345,79177347,0.804,0.555,9,16,3
chr1,1166,79177850,79177852,0.783,0.534,7,23,4
chr1,1169,79367179,79367181,0.716,0.487,3,9,3
chr1,1172,79728960,79728962,0.823,0.604,10,25,4
chr1,1173,79779660,79779662,0.719,0.924,14,49,6
chr1,1174,79780799,79780801,0.392,0.621,6,21,4
chr1,1175,79815108,79815110,0.49,0.689,17,44,8
chr1,1176,79832917,79832919,0.475,0.27,8,13,3
chr1,1177,79980084,79980086,0.854,0.56,15,24,5
chr1,1178,80027454,80027456,0.596,0.796,9,23,3
chr1,1183,80063867,80063869,0.326,0.569,6,35,4
chr1,1184,80086029,80086031,0.653,0.41,5,10,3
chr1,1185,80091796,80091798,0.356,0.563,12,27,3
chr1,1186,80121552,80121554,0.514,0.706,7,28,5
chr1,1187,80124884,80124886,0.433,0.659,13,35,5
chr1,1188,80134533,80134535,0.458,0.697,12,31,4
chr1,1189,80170155,80170157,0.639,0.845,20,66,7
chr1,1193,80222496,80222498,0.496,0.271,12,27,3
chr1,1194,80252606,80252608,0.382,0.665,5,14,3
chr1,1195,80256167,80256169,0.141,0.341,6,25,4
chr1,1196,80274661,80274663,0.806,0.583,15,41,5
chr1,1197,80276356,80276358,0.785,0.568,9,31,3
chr1,1200,80311282,80311284,0.597,0.293,38,86,16
chr1,1202,80316598,80316600,0.474,0.685,20,60,6
chr1,1203,80332343,80332345,0.38,0.59,26,27,4
chr1,1204,80345979,80345981,0.653,0.912,67,162,19
chr1,1205,80351513,80351515,0.524,0.718,24,64,8
chr1,1207,80400241,80400243,0.507,0.721,19,26,6
chr1,1209,80489024,80489026,0.287,0.54,7,37,4
chr1,1210,80495551,80495553,0.762,0.52,10,14,3
chr1,1212,80516025,80516027,0.058,0.303,6,30,3
chr1,1215,80616500,80616502,0.695,0.464,17,42,4
chr1,1216,80674627,80674629,0.406,0.605,18,42,4
chr1,1218,80717018,80717020,0.285,0.536,12,32,6
chr1,1219,80730814,80730816,0.484,0.673,14,29,4
chr1,1220,80732319,80732321,0.321,0.566,42,97,10
chr1,1221,80774050,80774052,0.189,0.472,68,139,16
chr1,1222,80780795,80780797,0.637,0.913,56,146,14
chr1,1224,80868426,80868428,0.497,0.718,13,43,7
chr1,1226,80943357,80943359,0.853,0.635,6,15,3
chr1,1228,80979290,80979292,0.375,0.774,108,102,27
chr1,1230,81057034,81057036,0.574,0.788,39,109,14
chr1,1232,81073061,81073063,0.371,0.654,23,48,8
chr1,1233,81091183,81091185,0.603,0.882,40,71,14
chr1,1234,81092443,81092445,0.314,0.525,6,12,3
chr1,1235,81105661,81105663,0.488,0.682,10,19,5
chr1,1237,81121413,81121415,0.443,0.694,23,55,8
chr1,1238,81171948,81171950,0.625,0.421,8,19,4
chr1,1240,81211868,81211870,0.442,0.645,10,22,3
chr1,1242,81301582,81301584,0.813,0.584,21,82,11
chr1,1243,81373694,81373696,0.587,0.312,41,99,12
chr1,1245,81397759,81397761,0.717,0.491,29,39,9
chr1,1246,81403577,81403579,0.862,0.658,10,23,3
chr1,1248,81447542,81447544,0.84,0.631,11,15,3
chr1,1249,81516575,81516577,0.526,0.233,17,44,6
chr1,1252,81823604,81823606,0.332,0.591,14,45,9
chr1,1255,81951224,81951226,0.179,0.453,5,9,3
chr1,1263,82172092,82172094,0.541,0.731,13,38,4
chr1,1266,82175259,82175261,0.603,0.8,3,13,3
chr1,1267,82185874,82185876,0.868,0.548,11,21,4
chr1,1268,82287843,82287845,0.903,0.632,54,98,9
chr1,1269,82328228,82328230,0.398,0.612,21,37,6
chr1,1270,82353905,82353907,0.27,0.476,8,16,3
chr1,1271,82379340,82379342,0.574,0.261,15,67,9
chr1,1273,82413965,82413967,0.637,0.408,7,32,4
chr1,1275,82419529,82419531,0.676,0.872,17,30,3
chr1,1276,82468688,82468690,0.355,0.088,12,25,3
chr1,1277,82469900,82469902,0.201,0.502,26,81,10
chr1,1278,82471703,82471705,0.586,0.815,14,46,5
chr1,1282,82609126,82609128,0.201,0.44,5,6,3
chr1,1283,82611592,82611594,0.49,0.722,16,28,7
chr1,1284,82666019,82666021,0.652,0.844,10,16,5
chr1,1291,83791411,83791413,0.631,0.862,7,16,3
chr1,1292,83946605,83946607,0.532,0.301,40,89,10
chr1,1293,84009367,84009369,0.509,0.774,14,12,5
chr1,1295,84094497,84094499,0.502,0.239,6,20,3
chr1,1296,84122218,84122220,0.335,0.592,32,72,10
chr1,1301,84205822,84205824,0.638,0.369,14,35,4
chr1,1303,84311870,84311872,0.283,0.476,19,14,3
chr1,1304,84314163,84314165,0.496,0.694,9,18,5
chr1,1305,84331769,84331771,0.628,0.847,23,38,7
chr1,1307,84360239,84360241,0.37,0.599,24,41,9
chr1,1309,84424764,84424766,0.843,0.583,24,77,10
chr1,1310,84460374,84460376,0.575,0.775,8,28,3
chr1,1311,84466804,84466806,0.496,0.734,10,26,4
chr1,1317,84738599,84738601,0.364,0.12,10,16,3
chr1,1322,85035052,85035054,0.532,0.75,17,38,3
chr1,1323,85069072,85069074,0.449,0.653,12,47,3
chr1,1325,85112359,85112361,0.639,0.344,5,12,3
chr1,1326,85163546,85163548,0.766,0.534,22,36,5
chr1,1329,85289496,85289498,0.675,0.868,12,27,5
chr1,1332,85381267,85381269,0.579,0.786,41,85,10
chr1,1334,85488226,85488228,0.402,0.645,15,23,3
chr1,1335,85489596,85489598,0.629,0.832,32,50,7
chr1,1336,85492076,85492078,0.634,0.396,6,25,3
chr1,1337,85510664,85510666,0.847,0.629,11,27,4
chr1,1340,85676646,85676648,0.485,0.707,8,15,3
chr1,1341,85735941,85735943,0.658,0.872,5,21,4
chr1,1342,85736472,85736474,0.621,0.867,4,16,3
chr1,1343,85737161,85737163,0.591,0.864,18,41,9
chr1,1345,85738933,85738935,0.649,0.88,15,7,4
chr1,1349,86470906,86470908,0.582,0.783,7,12,4
chr1,1356,86475318,86475320,0.581,0.769,4,12,3
chr1,1360,87004591,87004593,0.848,0.582,29,50,8
chr1,1363,87250470,87250472,0.502,0.755,19,57,6
chr1,1364,87260703,87260705,0.866,0.632,29,74,11
chr1,1365,87312110,87312112,0.302,0.501,58,90,9
chr1,1366,87674838,87674840,0.536,0.857,7,13,3
chr1,1367,87699269,87699271,0.418,0.214,16,57,6
chr1,1369,87784310,87784312,0.133,0.926,135,343,36
chr1,1371,87974983,87974985,0.616,0.825,8,14,4
chr1,1372,87994051,87994053,0.481,0.843,19,40,6
chr1,1373,87995103,87995105,0.393,0.189,21,41,5
chr1,1375,88047902,88047904,0.364,0.567,11,20,3
chr1,1376,88076769,88076771,0.655,0.872,6,15,3
chr1,1377,88105303,88105305,0.421,0.682,40,87,10
chr1,1379,88123988,88123990,0.549,0.833,11,18,4
chr1,1381,88135831,88135833,0.736,0.931,20,38,4
chr1,1384,88287130,88287132,0.07,0.507,40,99,10
chr1,1385,88579672,88579674,0.358,0.709,13,22,5
chr1,1386,88591886,88591888,0.685,0.969,14,54,6
chr1,1387,88592350,88592352,0.417,0.96,22,52,10
chr1,1389,88650289,88650291,0.051,0.72,46,84,12
chr1,1390,88670643,88670645,0.36,0.588,4,7,3
chr1,1391,88812741,88812743,0.187,0.422,26,86,9
chr1,1392,88813060,88813062,0.538,0.806,12,44,4
chr1,1393,88832306,88832308,0.572,0.769,30,53,10
chr1,1394,88867848,88867850,0.691,0.928,36,81,10
chr1,1398,89066263,89066265,0.322,0.519,5,19,3
chr1,1399,89109697,89109699,0.644,0.318,17,45,8
chr1,1400,89178934,89178936,0.746,0.526,12,36,3
chr1,1401,89229875,89229877,0.654,0.907,10,23,4
chr1,1402,89230410,89230412,0.584,0.215,23,98,9
chr1,1403,89302204,89302206,0.596,0.357,40,83,12
chr1,1404,89306807,89306809,0.49,0.716,12,37,4
chr1,1405,89354130,89354132,0.241,0.438,3,5,3
chr1,1406,89584516,89584518,0.24,0.03,14,39,3
chr1,1407,89647402,89647404,0.626,0.816,13,31,3
chr1,1408,89651984,89651986,0.416,0.771,7,23,4
chr1,1410,90089864,90089866,0.581,0.773,36,107,8
chr1,1412,90176597,90176599,0.347,0.619,16,36,6
chr1,1413,90192710,90192712,0.649,0.853,8,33,5
chr1,1414,90244237,90244239,0.256,0.483,5,25,3
chr1,1415,90328526,90328528,0.527,0.8,7,17,3
chr1,1418,90365295,90365297,0.594,0.852,53,114,13
chr1,1419,90381976,90381978,0.646,0.838,6,4,3
chr1,1422,90417843,90417845,0.439,0.691,29,95,14
chr1,1425,90639267,90639269,0.528,0.723,40,76,9
chr1,1426,90645448,90645450,0.507,0.777,19,20,4
chr1,1427,90650394,90650396,0.902,0.699,3,13,3
chr1,1428,90766086,90766088,0.498,0.714,39,88,9
chr1,1429,90780484,90780486,0.621,0.846,7,11,4
chr1,1430,90821326,90821328,0.692,0.402,8,25,3
chr1,1434,91188983,91188985,0.673,0.866,41,80,8
chr1,1439,91465698,91465700,0.937,0.718,8,26,5
chr1,1441,91518302,91518304,0.497,0.729,13,55,8
chr1,1442,91657609,91657611,0.931,0.722,16,50,5
chr1,1443,91662813,91662815,0.44,0.201,32,54,6
chr1,1447,91982441,91982443,0.912,0.677,7,20,4
chr1,1448,92044507,92044509,0.674,0.901,8,16,3
chr1,1449,92255712,92255714,0.586,0.85,28,79,13
chr1,1452,92399837,92399839,0.436,0.212,33,119,16
chr1,1453,92486532,92486534,0.556,0.757,17,37,4
chr1,1454,92594862,92594864,0.496,0.688,7,20,4
chr1,1455,92601886,92601888,0.41,0.619,33,52,11
chr1,1456,92692848,92692850,0.753,0.943,13,29,4
chr1,1457,92751673,92751675,0.51,0.716,88,199,18
chr1,1458,92925284,92925286,0.755,0.538,38,154,16
chr1,1459,93348931,93348933,0.652,0.843,30,64,5
chr1,1460,93524228,93524230,0.737,0.928,14,59,6
chr1,1461,93691242,93691244,0.686,0.472,39,109,11
chr1,1462,93736966,93736968,0.4,0.6,20,52,7
chr1,1463,93748755,93748757,0.709,0.456,30,37,7
chr1,1464,93836226,93836228,0.571,0.792,6,33,4
chr1,1466,93909471,93909473,0.441,0.664,26,55,7
chr1,1467,93949429,93949431,0.767,0.963,5,11,3
chr1,1468,93982993,93982995,0.733,0.505,6,13,3
chr1,1470,94019205,94019207,0.631,0.398,30,96,10
chr1,1472,94149417,94149419,0.481,0.707,24,73,8
chr1,1473,94156574,94156576,0.543,0.331,12,49,5
chr1,1475,94291056,94291058,0.875,0.61,32,52,11
chr1,1476,94327023,94327025,0.171,0.434,38,94,7
chr1,1478,94574935,94574937,0.141,0.45,7,27,3
chr1,1479,94589416,94589418,0.479,0.777,62,138,18
chr1,1480,94600640,94600642,0.487,0.707,40,123,13
chr1,1494,96960793,96960795,0.771,0.517,34,82,12
chr1,1495,96962349,96962351,0.812,0.594,13,29,3
chr1,1497,96967286,96967288,0.68,0.899,11,30,4
chr1,1498,97237199,97237201,0.679,0.871,11,26,3
chr1,1500,97405808,97405810,0.839,0.625,46,84,13
chr1,1503,97945779,97945781,0.614,0.836,17,58,8
chr1,1505,98050094,98050096,0.582,0.89,6,21,4
chr1,1511,98082975,98082977,0.825,0.572,11,21,5
chr1,1515,98166642,98166644,0.551,0.862,12,19,7
chr1,1516,98210051,98210053,0.316,0.646,5,22,3
chr1,1517,98212271,98212273,0.355,0.649,7,27,4
chr1,1518,98432968,98432970,0.944,0.715,6,13,5
chr1,1520,98481139,98481141,0.622,0.421,25,74,5
chr1,1521,98539589,98539591,0.82,0.614,7,37,6
chr1,1523,98616069,98616071,0.804,0.531,5,11,4
chr1,1526,98881480,98881482,0.488,0.689,7,20,4
chr1,1535,99483866,99483868,0.406,0.187,8,26,4
chr1,1536,99501682,99501684,0.382,0.584,9,24,3
chr1,1537,99693537,99693539,0.677,0.873,4,6,3
chr1,1539,99831693,99831695,0.757,0.553,96,131,18
chr1,1540,100100502,100100504,0.59,0.781,12,17,3
chr1,1542,100199751,100199753,0.489,0.74,17,55,7
chr1,1546,100358842,100358844,0.867,0.638,10,34,5
chr1,1547,100368879,100368881,0.717,0.931,13,25,4
chr1,1548,100369344,100369346,0.661,0.963,25,56,5
chr1,1549,100405617,100405619,0.635,0.832,13,31,4
chr1,1552,100443017,100443019,0.597,0.788,28,77,8
chr1,1556,100534200,100534202,0.542,0.302,11,35,4
chr1,1558,100558817,100558819,0.593,0.805,5,14,3
chr1,1559,100590739,100590741,0.194,0.686,7,26,4
chr1,1560,100608098,100608100,0.218,0.441,28,65,11
chr1,1563,100778378,100778380,0.848,0.628,16,27,4
chr1,1564,100866689,100866691,0.232,0.437,12,11,3
chr1,1566,100890792,100890794,0.179,0.537,8,14,3
chr1,1567,100897370,100897372,0.701,0.489,18,70,7
chr1,1568,100927520,100927522,0.474,0.88,7,31,3
chr1,1570,100965127,100965129,0.275,0.596,12,44,5
chr1,1572,101039573,101039575,0.743,0.94,19,20,3
chr1,1573,101043573,101043575,0.294,0.497,13,38,4
chr1,1579,101179889,101179891,0.424,0.644,19,31,5
chr1,1582,101255582,101255584,0.913,0.685,16,35,7
chr1,1584,101264634,101264636,0.913,0.627,13,23,6
chr1,1586,101351400,101351402,0.196,0.409,6,20,4
chr1,1588,101404379,101404381,0.748,0.454,34,72,11
chr1,1589,101409334,101409336,0.433,0.165,29,87,13
chr1,1591,101441312,101441314,0.505,0.768,11,33,4
chr1,1592,101475699,101475701,0.414,0.618,7,23,3
chr1,1593,101499500,101499502,0.303,0.716,20,51,8
chr1,1595,101527307,101527309,0.474,0.828,12,46,5
chr1,1596,101550894,101550896,0.51,0.749,39,87,9
chr1,1597,101552954,101552956,0.34,0.561,12,25,3
chr1,1598,101553960,101553962,0.409,0.178,12,18,3
chr1,1599,101572307,101572309,0.267,0.501,18,58,9
chr1,1600,101602640,101602642,0.522,0.262,78,165,16
chr1,1602,101625612,101625614,0.266,0.47,19,44,5
chr1,1603,101626759,101626761,0.783,0.494,23,77,11
chr1,1605,101666987,101666989,0.423,0.684,59,162,18
chr1,1608,101723436,101723438,0.476,0.787,45,117,13
chr1,1609,101786609,101786611,0.42,0.616,43,59,6
chr1,1610,101853535,101853537,0.176,0.374,8,37,5
chr1,1611,101857578,101857580,0.453,0.185,10,25,3
chr1,1612,101858516,101858518,0.37,0.679,16,38,7
chr1,1613,101860485,101860487,0.477,0.69,18,33,6
chr1,1614,101904907,101904909,0.489,0.736,22,38,8
chr1,1617,102016096,102016098,0.727,0.932,10,41,4
chr1,1619,102018166,102018168,0.355,0.677,27,44,7
chr1,1621,102138360,102138362,0.527,0.726,10,29,3
chr1,1622,102192963,102192965,0.737,0.449,10,38,4
chr1,1623,102210775,102210777,0.636,0.822,8,21,3
chr1,1626,102440697,102440699,0.784,0.559,13,49,6
chr1,1628,102698656,102698658,0.403,0.66,23,58,8
chr1,1629,102795304,102795306,0.599,0.376,38,130,12
chr1,1631,102802252,102802254,0.592,0.806,30,117,10
chr1,1634,102804699,102804701,0.854,0.638,35,67,8
chr1,1635,102901841,102901843,0.147,0.423,5,7,3
chr1,1637,103013344,103013346,0.169,0.467,11,23,6
chr1,1638,103014771,103014773,0.531,0.752,38,63,10
chr1,1645,103257830,103257832,0.582,0.356,15,26,6
chr1,1646,103363025,103363027,0.63,0.386,58,60,18
chr1,1647,103364878,103364880,0.382,0.612,34,62,9
chr1,1656,104289025,104289027,0.732,0.52,72,145,22
chr1,1657,104591760,104591762,0.749,0.539,11,28,3
chr1,1659,104932863,104932865,0.568,0.761,8,33,4
chr1,1660,104969739,104969741,0.054,0.276,10,19,4
chr1,1661,105076204,105076206,0.585,0.35,37,86,13
chr1,1662,105104127,105104129,0.547,0.334,7,23,3
chr1,1663,105181584,105181586,0.51,0.289,26,95,12
chr1,1664,105256916,105256918,0.267,0.546,27,62,5
chr1,1665,105347787,105347789,0.612,0.377,23,61,7
chr1,1666,105350489,105350491,0.704,0.928,13,21,3
chr1,1667,105578681,105578683,0.646,0.837,7,13,4
chr1,1668,105579369,105579371,0.633,0.834,15,36,4
chr1,1671,106320880,106320882,0.597,0.82,3,12,3
chr1,1674,106719688,106719690,0.671,0.861,18,46,4
chr1,1675,106763973,106763975,0.625,0.85,5,11,3
chr1,1678,106765576,106765578,0.622,0.824,12,17,4
chr1,1684,107006588,107006590,0.515,0.178,11,21,5
chr1,1687,107064877,107064879,0.624,0.841,7,16,3
chr1,1688,107147214,107147216,0.664,0.912,6,19,6
chr1,1690,107150847,107150849,0.58,0.372,25,59,7
chr1,1694,107233001,107233003,0.429,0.701,14,25,3
chr1,1695,107251418,107251420,0.661,0.872,7,12,3
chr1,1696,107252437,107252439,0.388,0.638,12,33,6
chr1,1697,107254610,107254612,0.318,0.089,113,290,26
chr1,1699,107257258,107257260,0.681,0.927,4,7,3
chr1,1700,107257987,107257989,0.723,0.934,22,26,4
chr1,1702,107360277,107360279,0.878,0.661,25,46,5
chr1,1706,109035330,109035332,0.761,0.557,7,14,4
chr1,1713,109357923,109357925,0.716,0.91,7,17,4
chr1,1714,109358793,109358795,0.713,0.908,6,20,3
chr1,1722,111719067,111719069,0.867,0.639,16,34,5
chr1,1723,111850733,111850735,0.239,0.441,16,37,4
chr1,1725,111926690,111926692,0.845,0.639,11,20,4
chr1,1726,112024254,112024256,0.681,0.901,21,62,10
chr1,1727,112026268,112026270,0.733,0.941,7,18,3
chr1,1737,112327388,112327390,0.667,0.873,27,72,5
chr1,1739,112328942,112328944,0.672,0.88,7,11,3
chr1,1740,112600405,112600407,0.661,0.453,13,37,4
chr1,1749,113216154,113216156,0.667,0.869,9,23,5
chr1,1750,113553908,113553910,0.682,0.891,6,22,3
chr1,1754,113556382,113556384,0.721,0.922,13,19,4
chr1,1757,113740037,113740039,0.94,0.719,25,49,8
chr1,1759,114257443,114257445,0.886,0.582,7,8,3
chr1,1765,114422016,114422018,0.051,0.263,34,85,9
chr1,1770,115344698,115344700,0.929,0.701,6,6,3
chr1,1776,115973341,115973343,0.635,0.407,13,21,3
chr1,1778,116258825,116258827,0.64,0.894,16,26,3
chr1,1784,118778235,118778237,0.6,0.808,16,15,5
chr1,1793,119804048,119804050,0.576,0.788,13,26,4
chr1,1801,120337730,120337732,0.931,0.73,12,19,3
chr1,1803,120448846,120448848,0.797,0.576,14,32,7
chr1,1804,120514704,120514706,0.8,0.589,4,17,3
chr1,1807,120915347,120915349,0.671,0.91,5,4,3
chr1,1813,122113213,122113215,0.632,0.402,25,58,11
chr1,1819,122505445,122505447,0.813,0.601,7,10,3
chr1,1823,122830197,122830199,0.587,0.779,9,15,4
chr1,1826,122839897,122839899,0.741,0.95,3,13,3
chr1,1827,123043062,123043064,0.424,0.624,9,20,4
chr1,1828,123053729,123053731,0.806,0.551,16,37,5
chr1,1830,123055089,123055091,0.758,0.496,9,21,3
chr1,1831,123055806,123055808,0.706,0.472,9,12,4
chr1,1843,123439721,123439723,0.587,0.791,4,21,3
chr1,1847,123554537,123554539,0.721,0.503,10,16,5
chr1,1854,124622042,124622044,0.661,0.922,7,23,4
chr1,1855,124683222,124683224,0.674,0.461,16,36,5
chr1,1857,124881774,124881776,0.618,0.806,18,18,5
chr1,1858,125227496,125227498,0.306,0.717,14,32,5
chr1,1859,125338684,125338686,0.643,0.409,35,106,14
chr1,1860,125493418,125493420,0.729,0.52,29,103,11
chr1,1861,125640969,125640971,0.508,0.798,16,48,3
chr1,1862,125646969,125646971,0.661,0.431,6,16,4
chr1,1863,125647575,125647577,0.515,0.292,15,31,6
chr1,1864,125665750,125665752,0.346,0.64,19,40,6
chr1,1866,125900883,125900885,0.751,0.522,44,64,10
chr1,1867,125906212,125906214,0.485,0.706,34,73,9
chr1,1872,126524081,126524083,0.555,0.853,6,19,3
chr1,1873,126582917,126582919,0.784,0.98,7,21,4
chr1,1876,126672568,126672570,0.736,0.947,13,38,5
chr1,1877,126673545,126673547,0.759,0.958,8,37,4
chr1,1879,126758282,126758284,0.249,0.45,5,22,3
chr1,1880,126848209,126848211,0.772,0.568,41,37,4
chr1,1890,127153136,127153138,0.636,0.43,14,68,6
chr1,1891,127168523,127168525,0.778,0.554,26,41,4
chr1,1892,127189260,127189262,0.321,0.553,26,65,12
chr1,1893,127205832,127205834,0.509,0.771,30,103,13
chr1,1894,127319325,127319327,0.52,0.708,9,20,4
chr1,1900,127430281,127430283,0.662,0.859,17,28,4
chr1,1902,127535138,127535140,0.633,0.828,66,145,15
chr1,1905,128338671,128338673,0.544,0.873,3,10,3
chr1,1906,128417412,128417414,0.659,0.428,46,58,8
chr1,1907,128524082,128524084,0.669,0.87,19,54,9
chr1,1908,128576594,128576596,0.853,0.59,7,16,3
chr1,1913,128628041,128628043,0.47,0.66,19,44,6
chr1,1915,128647438,128647440,0.474,0.67,38,57,11
chr1,1916,128879206,128879208,0.877,0.656,7,27,3
chr1,1917,128972877,128972879,0.761,0.479,37,125,16
chr1,1918,128995898,128995900,0.555,0.742,5,12,3
chr1,1919,128998703,128998705,0.915,0.669,17,22,4
chr1,1920,128999293,128999295,0.888,0.659,11,25,4
chr1,1921,129010045,129010047,0.596,0.808,14,36,5
chr1,1923,129024829,129024831,0.543,0.329,29,57,9
chr1,1925,129079550,129079552,0.425,0.62,23,50,6
chr1,1927,129379527,129379529,0.727,0.923,7,18,4
chr1,1929,129780959,129780961,0.267,0.572,12,17,5
chr1,1930,129857237,129857239,0.648,0.867,21,34,4
chr1,1932,130445636,130445638,0.928,0.727,7,4,4
chr1,1936,130641677,130641679,0.647,0.843,13,22,5
chr1,1938,130917580,130917582,0.687,0.462,5,18,3
chr1,1939,130918297,130918299,0.683,0.47,5,6,3
chr1,1942,131200407,131200409,0.652,0.433,28,57,8
chr1,1943,131225291,131225293,0.698,0.905,17,96,11
chr1,1944,131265833,131265835,0.216,0.415,56,136,17
chr1,1947,131376077,131376079,0.389,0.669,5,21,4
chr1,1948,131438343,131438345,0.463,0.235,22,74,10
chr1,1949,131462208,131462210,0.099,0.296,17,43,5
chr1,1952,131625148,131625150,0.672,0.91,16,32,5
chr1,1953,131632351,131632353,0.515,0.293,42,137,14
chr1,1955,131789244,131789246,0.776,0.49,24,80,8
chr1,1956,131789902,131789904,0.767,0.539,10,20,3
chr1,1957,132101423,132101425,0.741,0.518,15,48,6
chr1,1961,132178825,132178827,0.385,0.646,32,41,9
chr1,1964,132313608,132313610,0.697,0.916,12,22,4
chr1,1965,132343897,132343899,0.832,0.614,32,80,8
chr1,1966,132344550,132344552,0.833,0.624,10,30,4
chr1,1967,132519213,132519215,0.699,0.478,5,17,3
chr1,1968,132521307,132521309,0.59,0.806,5,22,3
chr1,1969,132626133,132626135,0.669,0.914,14,21,4
chr1,1972,132640143,132640145,0.829,0.553,17,59,8
chr1,1975,133454139,133454141,0.45,0.695,4,14,3
chr1,1976,133454738,133454740,0.453,0.656,9,20,4
chr1,1977,133480716,133480718,0.823,0.615,7,31,3
chr1,1978,133488699,133488701,0.428,0.728,27,69,9
chr1,1979,133489731,133489733,0.653,0.854,3,14,3
chr1,1981,133558391,133558393,0.127,0.467,19,51,5
chr1,1987,134505940,134505942,0.522,0.739,20,76,11
chr1,1988,134509580,134509582,0.604,0.357,62,178,21
chr1,1989,134518505,134518507,0.672,0.442,8,23,4
chr1,1990,134518913,134518915,0.69,0.479,9,12,3
chr1,1991,134680000,134680002,0.49,0.687,14,41,6
chr1,1992,134697215,134697217,0.27,0.586,9,16,4
chr1,1993,134726555,134726557,0.831,0.611,26,66,7
chr1,1994,134748769,134748771,0.655,0.436,40,92,8
chr1,1995,134806201,134806203,0.532,0.741,60,79,22
chr1,1998,134872140,134872142,0.508,0.812,13,24,6
chr1,2001,135118888,135118890,0.512,0.727,48,113,9
chr1,2003,135264870,135264872,0.792,0.58,18,58,8
